,X,Y
319,18.80383678785183,-204.20650679623918
320,19.30683231298199,-204.65401122358327
321,19.813495145205987,-205.09735924109222
322,20.32378321676167,-205.53652979605295
323,20.837682279081108,-205.97146939103584
324,21.35515162522091,-206.4021550411441
325,21.87615742603673,-206.82855583921594
326,22.400680592227847,-207.25062234855352
327,22.928677571990875,-207.66833496436274
328,23.46011338276868,-208.0816636780953
329,23.994956728410855,-208.49057354864814
330,24.533177220005452,-208.89502796521526
331,25.074730873061895,-209.29500830492597
332,25.619581163594738,-209.69048623260286
333,26.16769076662603,-210.0814344683929
334,26.71902270668023,-210.46782519350995
335,27.27354159072937,-210.84962815895005
336,27.831202526075394,-211.22682697213645
337,28.39196537721979,-211.59939867301475
338,28.955789381284628,-211.96732140508502
339,29.52263318371736,-212.33057442085794
340,30.092454874101996,-212.68913808584492
341,30.665212022007033,-213.04299388110087
342,31.240861712802353,-213.3921244043416
343,31.819360583377893,-213.73651336966037
344,32.40066485770022,-214.0761456058714
345,32.98473038214408,-214.4110070535126
346,33.57151266053947,-214.7410847605397
347,34.16096688887586,-215.06636687674936
348,34.753047989608596,-215.38684264696943
349,35.347710645515505,-215.70250240305649
350,35.944909333052706,-216.01333755474514
351,36.544598355164354,-216.3193405793912
352,37.1467318735004,-216.620505010656
353,37.751263940002275,-216.91682542617963
354,38.35814852781859,-217.208297434289
355,38.96733956151405,-217.494917659793
356,39.578790946540764,-217.77668372891188
357,40.192459708697065,-218.05358728804075
358,40.80829693310984,-218.32563403079553
359,41.4262564311718,-218.592824920058
360,42.046292291786564,-218.85516144519883
361,42.66835872125448,-219.112646010172
362,43.29241006777246,-219.36528191428124
363,43.91840169908338,-219.6130711504493
364,44.54629046928643,-219.8560129768896
365,45.17602821825352,-220.09412092354287
366,45.807570076312814,-220.32740169105247
367,46.44087142573277,-220.55586277210645
368,47.07588791978162,-220.7795124298431
369,47.71257900176986,-220.99834936946553
370,48.35089772118932,-221.21239221876883
371,48.99080021451542,-221.4216526673096
372,49.632243384258295,-221.62614185896294
373,50.275185186926436,-221.82586931262085
374,50.91958555608381,-222.02083955653202
375,51.565399320470405,-222.21107573941387
376,52.212584871103665,-222.39659152501147
377,52.861101002796836,-222.577401146579
378,53.5109097816757,-222.75350869628127
379,54.1619684330323,-222.92493782162683
380,54.814236386347844,-223.09170665083337
381,55.46767414524736,-223.25383148915614
382,56.122244785514525,-223.41132013916774
383,56.777908452795124,-223.56419444607627
384,57.43462595566295,-223.7124763732323
385,58.092359625994945,-223.85618395102713
386,58.75107410831904,-223.99532671761685
387,59.4107316145531,-224.12992781193705
388,60.0712949232452,-224.2600108862373
389,60.732728268578406,-224.38559536646264
390,61.394998127192956,-224.50669116845916
391,62.05806840889825,-224.6233246119053
